Sl No,Bus Stop Name,New Km,Sem Fees,Route,R.No
1,3rd MILE,52,10250,COLLEGE TO KARAVALLI,11
2,4 TH MAIL,26,7750,COLLEGE TO 4 TH MAIL,33
3,A.T.C ,29,7750,              COLLEGE TO S.P.PUTHUR,36
4,AANAIKKALPATTI,8,4500,COLLEGE to KARUR,25
5,AANAIKKALPATTY,11,5500,"COLLEGE TO MELUR, KIDARAM",39
6,AANAIPATTI,26,7750,COLLEGE TO KURUVAMPATTI,13
7,AANAIPPATTI SILVAN CHEMICAL,26,7750,COLLEGE TO SOUTH SITHAMPUR,22
8,AATHUPALAYAM,54,10250,COLLEGE TO KANDHAMPALAYAM,4
9,AGRAHARAPATTI,46,9750,COLLEGE TO THIRUPPANJEELI,17
10,AILAPETTAI,50,9750,COLLEGE TO ETTARAI,15
11,AKILANDAPURAM,56,10500,COLLEGE TO ANBIL,2
12,AKKIYAM PATTI,40,8750,COLLEGE TO CINNAKARAVALLI,12
13,ALAGARAI,18,6500,                   COLLEGE TO KOLAKUDI,48
14,ALAMPALAYAMPUTHUR,22,7500,COLLEGE TO KATTUPUTHUR,40
15,ALAMPATTI,20,6500,COLLEGE TO THOPUR,37
16,ALANKANATHAM,32,8250,COLLEGE TO PALAYAPALAYAM,30
17,ALANKANATHAM PIRIVU,33,8250,COLLEGE TO PALAYAPALAYAM,30
18,ALATHUDAIYAN PATTI,62,10750,COLLEGE TO PACHAPERUMALPATTI,6
19,ALLOOR,47,9750,COLLEGE TO SOMARASAMPETTAI,3
20,ALVAR HOSPITAL,20,6500,      COLLEGE TO MUSIRI NEW BUSSTAND,44
21,AMALA SCHOOL,20,6500,      COLLEGE TO MUSIRI NEW BUSSTAND,44
22,AMBAIPALAYAM,30,7750,COLLEGE TO VELAMPATTI,35
23,AMMAN KUDI,11,5500,                   COLLEGE TO KOLAKUDI,48
24,AMMANA PALLAM,47,9750,COLLEGE TO CINNAKARAVALLI,12
25,AMOOR,36,8750,COLLEGE TO THIRUPPANJEELI,17
26,AMOOR,41,9250,COLLEGE TO SOUTH SITHAMPUR,22
27,ANBIL,73,11250,COLLEGE TO ANBIL,2
28,ANBU NAGAR,33,8250,COLLEGE TO THIRUMALAI PATTI,14
29,ANDALUR GATE,59,10500,COLLEGE TO RASIPURAM,5
30,ANDAPURAM,19,6500,"COLLEGE TO MELUR, KIDARAM",39
31,ANDAVAR BUNK,28,7750,COLLEGE TO THIRUMALAI PATTI,14
32,ANDAVAR KOVIL,59,10500,COLLEGE TO MANAPARAI,7
33,ANDI PATTI 4 ROAD,43,9250,COLLEGE TO VALASIRAMANI,23
34,ANIYAPURAM,30,7750,COLLEGE TO KONDICHETTIPATTI,31
35,ANJALAM,28,7750,COLLEGE TO VALASIRAMANI,23
36,ANNA COLLEGE (VADUGAPATTI),24,7500,COLLEGE TO SOUTH SITHAMPUR,22
37,ANNA NAGAR,32,8250,COLLEGE TO SEVEYAMPALAYAM,27
38,ANNA NAGAR P.V.THALAI,32,8250,COLLEGE TO ETTARAI,15
39,ANNA VALAIVU,79,11500,COLLEGE TO BHEL,1
40,APPANALLUR,12,5500,                   COLLEGE TO KOLAKUDI,48
41,APPANALLUR G.H,14,5500,COLLEGE TO PAPPAPATTI,47
